16/04 14:16:55, SENSOR, ACTIVITY (): STILL
16/04 14:16:58, SENSOR, TIME (timer): TICK
16/04 14:16:59, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:17:11, SENSOR, TIME (timer): TICK
16/04 14:17:11, SENSOR, TIME (timer): TICK
16/04 14:17:13, SENSOR, ACTIVITY (): STILL
16/04 14:17:13, SENSOR, TIME (timer): TICK
16/04 14:17:15, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:17:25, SENSOR, TIME (timer): TICK
16/04 14:17:25, SENSOR, TIME (timer): TICK
16/04 14:17:27, SENSOR, ACTIVITY (): STILL
16/04 14:17:29, SENSOR, TIME (timer): TICK
16/04 14:17:29, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:17:40, SENSOR, TIME (timer): TICK
16/04 14:17:40, SENSOR, TIME (timer): TICK
16/04 14:17:41, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:17:41, SENSOR, ACTIVITY (): STILL
16/04 14:17:51, SENSOR, TIME (timer): TICK
16/04 14:17:51, SENSOR, TIME (timer): TICK
16/04 14:17:53, SENSOR, TIME (timer): TICK
16/04 14:17:55, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:17:56, SENSOR, ACTIVITY (): STILL
16/04 14:18:03, SENSOR, TIME (timer): TICK
16/04 14:18:03, SENSOR, TIME (timer): TICK
16/04 14:19:26, SENSOR, CELL (TRAIN_TUNNEL): NOTHING_FOUND
16/04 14:19:26, SENSOR, CELL (METRO_TUNNEL): NOTHING_FOUND
16/04 14:19:27, SENSOR, ACTIVITY (): STILL
16/04 14:19:30, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:19:37, SENSOR, TIME (timer): TICK
16/04 14:19:37, SENSOR, TIME (timer): TICK
16/04 14:19:41, SENSOR, TIME (timer): TICK
16/04 14:19:41, SENSOR, ACTIVITY (): STILL
16/04 14:19:53, SENSOR, TIME (timer): TICK
16/04 14:19:53, SENSOR, TIME (timer): TICK
16/04 14:19:56, SENSOR, TIME (timer): TICK
16/04 14:19:56, SENSOR, ACTIVITY (): STILL
16/04 14:20:12, SENSOR, TIME (timer): TICK
16/04 14:20:12, SENSOR, TIME (timer): TICK
16/04 14:20:12, SENSOR, TIME (timer): TICK
16/04 14:20:13, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:20:13, SENSOR, ACTIVITY (): STILL
16/04 14:20:23, SENSOR, TIME (timer): TICK
16/04 14:20:23, SENSOR, TIME (timer): TICK
16/04 14:20:26, SENSOR, TIME (timer): TICK
16/04 14:20:27, SENSOR, ACTIVITY (): STILL
16/04 14:20:38, SENSOR, TIME (timer): TICK
16/04 14:20:38, SENSOR, TIME (timer): TICK
16/04 14:20:41, SENSOR, TIME (timer): TICK
16/04 14:20:41, SENSOR, ACTIVITY (): STILL
16/04 14:20:46, SENSOR, TIME (timer): TICK
16/04 14:20:46, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:20:55, SENSOR, TIME (timer): TICK
16/04 14:20:56, SENSOR, TIME (timer): TICK
16/04 14:20:56, SENSOR, ACTIVITY (): STILL
16/04 14:21:11, SENSOR, TIME (timer): TICK
16/04 14:21:11, SENSOR, TIME (timer): TICK
16/04 14:21:11, SENSOR, TIME (timer): TICK
16/04 14:21:13, SENSOR, ACTIVITY (): STILL
16/04 14:21:23, SENSOR, TIME (timer): TICK
16/04 14:21:23, SENSOR, TIME (timer): TICK
16/04 14:21:26, SENSOR, TIME (timer): TICK
16/04 14:21:27, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:21:27, SENSOR, ACTIVITY (): STILL
16/04 14:21:38, SENSOR, TIME (timer): TICK
16/04 14:21:38, SENSOR, TIME (timer): TICK
16/04 14:21:41, SENSOR, TIME (timer): TICK
16/04 14:21:42, SENSOR, ACTIVITY (): STILL
16/04 14:21:54, SENSOR, TIME (timer): TICK
16/04 14:21:54, SENSOR, TIME (timer): TICK
16/04 14:21:56, SENSOR, TIME (timer): TICK
16/04 14:21:56, SENSOR, ACTIVITY (): STILL
16/04 14:22:01, SENSOR, TIME (timer): TICK
16/04 14:22:01, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:22:06, SENSOR, TIME (timer): TICK
16/04 14:22:11, SENSOR, TIME (timer): TICK
16/04 14:22:13, SENSOR, ACTIVITY (): STILL
16/04 14:22:23, SENSOR, TIME (timer): TICK
16/04 14:22:23, SENSOR, TIME (timer): TICK
16/04 14:22:26, SENSOR, TIME (timer): TICK
16/04 14:22:27, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:22:27, SENSOR, ACTIVITY (): STILL
16/04 14:22:37, SENSOR, TIME (timer): TICK
16/04 14:22:37, SENSOR, TIME (timer): TICK
16/04 14:22:41, SENSOR, TIME (timer): TICK
16/04 14:22:42, SENSOR, ACTIVITY (): STILL
16/04 14:22:54, SENSOR, TIME (timer): TICK
16/04 14:22:54, SENSOR, TIME (timer): TICK
16/04 14:22:56, SENSOR, TIME (timer): TICK
16/04 14:22:56, SENSOR, ACTIVITY (): STILL
16/04 14:23:01, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:23:01, SENSOR, TIME (timer): TICK
16/04 14:23:06, SENSOR, TIME (timer): TICK
16/04 14:23:11, SENSOR, TIME (timer): TICK
16/04 14:23:13, SENSOR, ACTIVITY (): STILL
